	DEPT	ТАЛЬБЛОК	НАГРУЗКА	ОБОРОТЫ_РОТОРА	СКОРОСТЬ_МЕХАНИЧЕСКАЯ	РАСХОД_НА_ВЫХОДЕ	ВЕС_НА_КРЮКЕ	СКОРОСТЬ_БУРЕНИЯ	ДАВЛЕНИЕ_НА_ВХОДЕ	ДМК	МОМЕНТ_РОТОРА
65	38.0	4.893	2.163	54.4	0.65	21.89	16.69	1.72	18.0	20.43	0.0
66	38.2	4.627	2.163	54.41	0.63	21.89	16.7	1.74	18.0	19.61	0.0
67	38.4	4.36	2.163	54.41	0.63	21.89	16.7	1.74	18.0	18.75	0.0
68	38.6	4.093	2.163	54.41	0.63	21.89	16.7	1.74	18.0	18.0	0.0
69	38.8	3.826	2.163	54.4	0.64	21.89	16.69	1.73	18.0	17.48	0.0
70	39.0	3.559	2.163	54.4	0.65	21.89	16.69	1.72	18.0	17.25	0.0
71	39.2	3.293	2.163	54.4	0.66	21.89	16.69	1.71	18.0	17.33	0.0
72	39.4	3.026	2.163	54.4	0.66	21.89	16.69	1.71	18.0	17.72	0.0
73	39.6	2.759	2.172	54.4	0.65	21.89	16.69	1.72	18.0	19.5	0.0
74	39.8	2.492	2.169	54.4	0.65	21.89	16.69	1.72	18.0	19.84	0.0
75	40.0	2.226	2.163	54.4	0.65	21.89	16.69	1.72	18.0	19.86	0.0
76	40.2	1.959	2.128	54.42	0.71	21.89	16.7	1.77	18.0	18.88	0.0
77	40.4	1.692	2.105	54.44	0.75	21.89	16.7	1.8	18.0	17.84	0.0
78	40.6	1.425	2.102	54.44	0.75	21.89	16.7	1.8	18.0	16.84	0.0
79	40.8	1.159	2.121	54.42	0.71	21.89	16.7	1.77	18.0	15.99	0.0
80	41.0	0.892	2.163	54.4	0.65	21.89	16.69	1.72	18.0	15.36	0.0
81	41.2	0.625	2.227	54.37	0.57	21.89	16.68	1.66	18.0	14.98	0.0
82	41.4	11.771	2.308	54.34	0.5	21.89	16.67	1.6	18.0	14.85	0.0
83	41.6	11.527	2.482	54.1	0.63	21.89	16.72	1.85	18.0	15.53	0.0
84	41.8	11.283	2.548	54.19	0.61	21.89	16.71	1.78	18.0	15.62	0.0
85	42.0	11.039	2.581	54.4	0.65	21.89	16.69	1.72	18.0	15.65	0.0
86	42.2	10.796	2.58	54.7	0.83	21.89	16.68	1.75	18.0	15.6	0.0
87	42.4	10.552	2.545	55.07	1.24	21.89	16.7	1.97	18.1	15.45	0.0
88	42.6	10.308	2.407	56.11	0.13	21.89	16.5	0.11	17.7	15.07	0.0
89	42.8	10.064	2.349	56.24	2.02	21.89	16.74	2.0	18.1	14.74	0.0
90	43.0	9.82	2.302	56.1	5.07	21.89	17.16	5.23	18.8	14.35	0.0
91	43.2	9.577	2.293	55.04	11.46	21.89	17.99	13.07	20.2	13.85	0.0
92	43.4	9.333	2.29	54.02	17.68	21.89	18.88	20.33	21.7	13.35	0.0
93	43.6	9.089	2.293	53.2	23.16	21.89	19.77	26.21	23.0	12.86	0.0
94	43.8	8.845	2.297	52.67	27.46	21.89	20.62	30.14	24.1	12.42	0.0
95	44.0	8.602	2.302	52.5	30.27	21.89	21.38	31.77	25.0	12.03	0.0
96	44.2	8.358	2.306	52.7	31.44	21.89	22.03	30.99	25.6	11.71	0.0
97	44.4	8.114	2.308	53.26	30.95	21.89	22.56	27.94	25.8	11.46	0.0
98	44.6	7.87	2.299	55.09	26.38	21.89	22.81	17.37	25.2	11.29	0.0
99	44.8	7.626	2.3	55.81	23.98	21.89	23.13	13.03	25.1	11.19	0.0
100	45.0	7.383	2.302	56.3	21.43	21.89	23.39	9.75	25.0	11.16	0.0
101	45.2	7.139	2.311	56.19	19.24	21.9	23.59	9.92	25.0	11.29	0.0
102	45.4	6.895	2.318	55.96	17.06	21.91	23.74	10.54	25.0	11.42	0.0
103	45.6	6.651	2.319	55.68	14.95	21.91	23.83	11.3	24.9	11.53	0.0
104	45.8	6.407	2.314	55.38	12.95	21.91	23.88	11.94	24.9	11.59	0.0
105	46.0	6.164	2.302	55.1	11.11	21.89	23.89	12.29	24.9	11.59	0.0
106	46.2	5.92	2.284	54.87	9.47	21.87	23.87	12.23	24.9	11.53	0.0
107	46.4	5.676	2.259	54.72	8.08	21.83	23.84	11.73	24.9	11.41	0.0
108	46.6	5.432	2.208	54.75	6.7	21.77	23.73	9.41	24.9	11.09	0.0
109	46.8	5.188	2.183	54.71	5.95	21.74	23.7	8.66	24.9	10.9	0.0
110	47.0	4.945	2.163	54.7	5.6	21.71	23.71	8.15	24.9	10.72	0.0
111	47.2	4.701	2.148	54.72	5.62	21.69	23.75	7.92	24.9	10.56	0.0
112	47.4	4.457	2.136	54.77	5.96	21.68	23.82	7.98	24.9	10.42	0.0
113	47.6	4.213	2.16	54.89	7.19	21.68	24.0	8.9	24.8	10.32	0.0
114	47.8	3.969	2.135	54.95	7.76	21.68	24.08	9.21	24.8	10.22	0.0
115	48.0	3.726	2.093	55.0	8.23	21.68	24.15	9.47	24.8	10.14	0.0
116	48.2	3.482	2.017	55.01	8.32	21.68	24.16	9.51	24.8	10.1	0.0
117	48.4	3.238	1.934	55.01	8.34	21.69	24.17	9.52	24.8	10.06	0.0
118	48.6	2.994	1.846	55.01	8.32	21.69	24.16	9.51	24.8	10.01	0.0
119	48.8	2.75	1.758	55.01	8.28	21.69	24.16	9.49	24.8	9.94	0.0
120	49.0	2.507	1.674	55.0	8.23	21.7	24.15	9.47	24.8	9.86	0.0
121	49.2	2.263	1.596	55.0	8.19	21.7	24.14	9.45	24.8	9.74	0.0
122	49.4	2.019	1.528	54.99	8.17	21.71	24.14	9.44	24.8	9.6	0.0
123	49.6	1.775	1.462	54.97	8.25	21.71	24.2	9.54	24.8	9.46	0.0
124	49.8	1.531	1.421	54.98	8.25	21.72	24.18	9.52	24.8	9.24	0.0
125	50.0	1.288	1.395	55.0	8.23	21.72	24.15	9.47	24.8	8.99	0.0
126	50.2	1.044	1.404	55.11	8.28	21.72	23.99	9.33	24.8	8.6	0.0
127	50.4	0.8	1.419	55.17	8.3	21.72	23.89	9.22	24.8	8.23	0.0
128	50.6	0.556	1.436	55.18	8.29	21.73	23.87	9.2	24.7	7.89	0.0
129	50.8	0.312	1.452	55.13	8.26	21.73	23.96	9.27	24.8	7.59	0.0
130	51.0	12.083	1.465	55.0	8.23	21.73	24.15	9.47	24.8	7.34	0.0
131	51.2	11.794	1.473	54.8	8.22	21.73	24.45	9.8	24.9	7.13	0.0
132	51.4	11.505	1.476	54.55	8.27	21.74	24.84	10.29	24.9	6.97	0.0
133	51.6	11.216	1.452	54.07	7.91	21.74	25.57	11.2	25.1	7.07	0.0
134	51.8	10.927	1.455	53.81	8.41	21.75	25.96	11.9	25.1	6.83	0.0
135	52.0	10.638	1.465	53.6	9.29	21.75	26.26	12.68	25.2	6.47	0.0
136	52.2	10.349	1.481	53.46	10.54	21.75	26.45	13.57	25.2	6.0	0.0
137	52.4	10.06	1.504	53.39	12.15	21.76	26.53	14.61	25.3	5.43	0.0
138	52.6	9.771	1.53	53.45	14.56	21.76	26.35	14.6	25.2	4.55	0.0
139	52.8	9.482	1.566	53.5	16.48	21.77	26.29	16.62	25.2	3.92	0.0
140	53.0	9.193	1.605	53.6	18.36	21.77	26.22	19.39	25.2	3.35	0.0
141	53.2	8.904	1.689	53.8	20.16	21.77	26.14	24.45	25.2	2.85	0.0
142	53.4	8.615	1.753	53.99	21.79	21.78	26.06	29.33	25.2	2.43	0.0
143	53.6	8.326	1.786	54.15	23.17	21.78	25.99	33.61	25.2	2.12	0.0
144	53.8	8.036	1.783	54.26	24.29	21.79	25.95	37.0	25.2	1.9	0.0
145	54.0	7.747	1.744	54.3	25.12	21.79	25.93	39.3	25.2	1.79	0.0
146	54.2	7.458	1.672	54.28	25.65	21.79	25.93	40.41	25.2	1.78	0.0
147	54.4	7.169	1.573	54.18	25.87	21.79	25.96	40.34	25.2	1.85	0.0
148	54.6	6.88	1.315	53.96	25.65	21.8	26.04	36.76	25.1	2.17	0.0
149	54.8	6.591	1.252	53.79	25.41	21.8	26.09	35.65	25.1	2.3	0.0
150	55.0	6.302	1.251	53.6	25.01	21.8	26.12	34.7	25.1	2.42	0.0
151	55.2	6.013	1.41	53.35	24.36	21.8	26.19	35.28	25.1	2.36	0.0
152	55.4	5.724	1.585	53.15	23.67	21.81	26.22	35.53	25.1	2.34	0.0
153	55.6	5.435	1.756	53.01	23.01	21.81	26.19	35.24	25.1	2.38	0.0
154	55.8	5.146	1.906	52.96	22.41	21.82	26.09	34.28	25.1	2.52	0.0
155	56.0	4.857	2.023	53.0	21.89	21.82	25.92	32.57	25.1	2.74	0.0
156	56.2	4.568	2.101	53.13	21.46	21.82	25.69	30.12	25.1	3.05	0.0
157	56.4	4.279	2.135	53.35	21.13	21.83	25.41	27.02	25.1	3.44	0.0
158	56.6	3.99	2.051	53.72	21.52	21.83	24.92	22.01	25.1	4.09	0.0
159	56.8	3.701	2.038	54.05	21.09	21.84	24.67	18.6	25.1	4.48	0.0
160	57.0	3.411	2.023	54.4	20.47	21.84	24.49	15.59	25.1	4.8	0.0
161	57.2	3.122	2.011	54.74	19.71	21.84	24.39	13.15	25.1	5.02	0.0
162	57.4	2.833	2.003	55.05	18.89	21.85	24.39	11.41	25.1	5.13	0.0
163	57.6	2.544	2.015	55.64	16.14	21.85	24.54	9.17	25.1	5.32	0.0
164	57.8	2.255	2.018	55.72	16.23	21.86	24.66	9.63	25.0	5.1	0.0
165	58.0	1.966	2.023	55.6	17.21	21.86	24.82	11.43	25.0	4.7	0.0
166	58.2	1.677	2.034	54.96	21.47	21.86	25.06	17.4	25.0	3.61	0.0
167	58.4	1.388	2.047	54.35	25.29	21.86	25.28	22.94	24.9	2.66	0.0
168	58.6	1.099	2.061	53.86	28.11	21.87	25.46	27.3	24.9	2.0	0.0
169	58.8	0.81	2.077	53.59	29.52	21.87	25.58	29.96	24.9	1.72	0.0
170	59.0	0.521	2.093	53.6	29.3	21.87	25.62	30.59	24.9	1.87	0.0
171	59.2	11.458	2.109	53.94	27.39	21.87	25.59	29.09	24.9	2.47	0.0
172	59.4	11.233	2.125	54.65	23.88	21.88	25.48	25.55	25.0	3.5	0.0
173	59.6	11.008	2.141	55.49	15.12	21.88	25.22	15.46	25.0	5.75	0.0
174	59.8	10.782	2.153	57.07	10.81	21.89	25.01	10.73	25.1	7.07	0.0
175	60.0	10.557	2.163	59.1	7.34	21.89	24.78	6.91	25.1	8.25	0.0
176	60.2	10.332	2.167	62.34	6.15	21.89	24.48	5.68	25.1	9.13	0.0
177	60.4	10.106	2.168	65.49	5.53	21.9	24.21	5.1	25.1	9.8	0.0
178	60.6	9.881	2.168	68.3	5.34	21.9	24.01	4.99	25.0	10.27	0.0
179	60.8	9.656	2.167	70.61	5.43	21.91	23.87	5.19	25.0	10.53	0.0
180	61.0	9.43	2.163	72.3	5.67	21.91	23.82	5.56	25.0	10.59	0.0
181	61.2	9.205	2.157	73.3	5.97	21.91	23.85	6.0	25.0	10.49	0.0
182	61.4	8.98	2.148	73.61	6.24	21.92	23.97	6.43	25.0	10.26	0.0
183	61.6	8.754	2.151	72.12	6.36	21.92	24.29	6.63	25.0	9.41	0.0
184	61.8	8.529	2.127	71.68	6.46	21.93	24.47	6.92	25.0	9.26	0.0
185	62.0	8.304	2.093	71.2	6.45	21.93	24.65	7.13	25.0	9.31	0.0
186	62.2	8.078	2.049	70.75	6.33	21.93	24.81	7.24	25.0	9.56	0.0
187	62.4	7.853	1.996	70.36	6.1	21.93	24.93	7.24	25.0	9.99	0.0
188	62.6	7.628	1.921	70.61	5.29	21.94	24.99	6.89	24.9	11.4	0.0
189	62.8	7.402	1.864	70.14	5.13	21.94	25.07	6.83	24.9	11.72	0.0
190	63.0	7.177	1.814	69.5	5.13	21.94	25.12	6.8	24.9	11.75	0.0
191	63.2	6.952	1.751	68.42	5.64	21.94	25.15	6.89	24.9	10.93	0.0
192	63.4	6.726	1.709	67.36	6.15	21.95	25.17	6.99	24.8	10.1	0.0
193	63.6	6.501	1.693	66.4	6.59	21.95	25.16	7.1	24.8	9.36	0.0
194	63.8	6.276	1.705	65.6	6.9	21.96	25.15	7.21	24.8	8.81	0.0
195	64.0	6.05	1.744	65.0	7.06	21.96	25.12	7.29	24.8	8.52	0.0
196	64.2	5.825	1.808	64.63	7.04	21.96	25.08	7.35	24.8	8.52	0.0
197	64.4	5.599	1.891	64.51	6.83	21.97	25.04	7.37	24.8	8.82	0.0
198	64.6	5.374	2.08	64.82	6.16	21.97	25.0	7.39	24.9	9.96	0.0
199	64.8	5.149	2.141	65.06	5.77	21.98	24.95	7.3	24.8	10.56	0.0
200	65.0	4.923	2.163	65.4	5.39	21.98	24.91	7.14	24.8	11.15	0.0
201	65.2	4.698	2.083	65.9	4.96	21.98	24.79	6.9	24.7	11.5	0.0
202	65.4	4.473	1.99	66.4	4.63	21.99	24.72	6.61	24.6	11.89	0.0
203	65.6	4.247	1.896	66.86	4.43	21.99	24.72	6.28	24.5	12.35	0.0
204	65.8	4.022	1.811	67.24	4.37	22.0	24.78	5.92	24.4	12.87	0.0
205	66.0	3.797	1.744	67.5	4.46	22.0	24.91	5.55	24.4	13.46	0.0
206	66.2	3.571	1.699	67.63	4.69	22.0	25.1	5.19	24.4	14.11	0.0
207	66.4	3.346	1.677	67.61	5.05	22.0	25.33	4.86	24.4	14.8	0.0
208	66.6	3.121	1.719	67.45	5.9	22.01	25.91	4.34	24.6	15.73	0.0
209	66.8	2.895	1.729	67.1	6.23	22.01	26.02	4.24	24.6	16.31	0.0
210	67.0	2.67	1.744	66.6	6.43	22.01	25.96	4.32	24.7	16.74	0.0
211	67.2	2.445	1.766	65.88	6.2	22.01	25.45	4.84	24.7	17.17	0.0
212	67.4	2.219	1.786	65.08	5.94	22.02	24.92	5.4	24.7	17.32	0.0
213	67.6	1.994	1.802	64.24	5.72	22.02	24.45	5.93	24.7	17.14	0.0
214	67.8	1.769	1.812	63.4	5.57	22.03	24.09	6.39	24.7	16.64	0.0
215	68.0	1.543	1.814	62.6	5.52	22.03	23.86	6.73	24.7	15.81	0.0
216	68.2	1.318	1.809	61.89	5.57	22.03	23.78	6.92	24.7	14.72	0.0
217	68.4	1.093	1.798	61.32	5.71	22.04	23.85	6.95	24.6	13.42	0.0
218	68.6	0.867	1.755	60.46	6.36	22.04	24.42	6.76	24.6	10.96	0.026
219	68.8	0.642	1.746	60.47	6.46	22.05	24.57	6.49	24.6	9.94	0.017
220	69.0	0.417	1.744	60.9	6.44	22.05	24.65	6.09	24.6	9.38	0.0
221	69.2	11.667	1.773	62.3	5.98	22.05	24.56	5.33	24.7	10.13	-0.075
222	69.4	11.415	1.799	63.78	5.53	22.06	24.41	4.62	24.8	10.97	-0.124
223	69.6	11.163	1.816	65.2	5.15	22.06	24.21	4.05	24.9	11.75	-0.133
224	69.8	10.911	1.822	66.44	4.89	22.07	23.98	3.67	25.0	12.33	-0.094
225	70.0	10.66	1.814	67.4	4.76	22.07	23.72	3.51	25.1	12.63	0.0
226	70.2	10.408	1.792	68.03	4.78	22.07	23.45	3.58	25.1	12.62	0.148
227	70.4	10.156	1.757	68.31	4.95	22.07	23.17	3.86	25.1	12.29	0.348
228	70.6	9.905	1.675	67.81	5.75	22.08	22.78	4.95	25.0	10.58	0.672
229	70.8	9.653	1.636	67.57	5.92	22.08	22.59	5.34	25.0	10.19	0.918
230	71.0	9.401	1.605	67.2	5.96	22.08	22.46	5.62	25.0	10.07	1.157
231	71.2	9.149	1.585	66.73	5.87	22.08	22.4	5.78	25.0	10.22	1.38
232	71.4	8.898	1.576	66.21	5.66	22.09	22.4	5.83	25.0	10.62	1.58
233	71.6	8.646	1.601	65.62	4.77	22.09	22.78	4.97	25.1	12.29	1.76
234	71.8	8.394	1.603	65.08	4.68	22.1	22.69	5.24	25.1	12.56	1.895
235	72.0	8.142	1.605	64.6	4.81	22.1	22.46	5.81	25.0	12.47	1.991
236	72.2	7.891	1.598	63.99	5.46	22.1	21.78	7.51	24.7	11.44	2.017
237	72.4	7.639	1.593	63.58	6.2	22.11	21.13	9.07	24.5	10.28	2.021
238	72.6	7.387	1.591	63.41	6.99	22.11	20.58	10.31	24.4	9.11	2.012
239	72.8	7.135	1.595	63.52	7.77	22.12	20.2	11.08	24.6	8.03	1.997
