	DEPT	ТАЛЬБЛОК	НАГРУЗКА	ОБОРОТЫ_РОТОРА	СКОРОСТЬ_МЕХАНИЧЕСКАЯ	РАСХОД_НА_ВЫХОДЕ	ВЕС_НА_КРЮКЕ	СКОРОСТЬ_БУРЕНИЯ	ДАВЛЕНИЕ_НА_ВХОДЕ	ДМК	МОМЕНТ_РОТОРА
8700	1765.0	3.266	8.67	85.1	17.05	52.75	67.33	22.28	206.6	3.52	2.706
8701	1765.2	3.055	8.78	85.13	17.15	52.76	67.22	22.04	206.6	3.5	2.715
8702	1765.4	2.844	8.862	85.23	17.18	52.82	67.14	21.62	206.5	3.49	2.721
8703	1765.6	2.634	8.892	85.49	16.97	53.05	67.11	20.68	206.5	3.53	2.72
8704	1765.8	2.423	8.923	85.65	16.99	53.12	67.08	20.13	206.4	3.53	2.721
8705	1766.0	2.212	8.934	85.8	17.05	53.16	67.07	19.64	206.3	3.52	2.72
8706	1766.2	2.001	8.884	86.05	17.32	53.07	67.13	19.18	206.1	3.47	2.715
8707	1766.4	1.79	8.837	86.23	17.57	52.99	67.18	18.88	205.9	3.42	2.71
8708	1766.6	1.579	8.802	86.3	17.75	52.93	67.21	18.78	205.7	3.38	2.707
8709	1766.8	1.368	8.784	86.26	17.85	52.89	67.22	18.87	205.6	3.36	2.705
8710	1767.0	1.157	8.785	86.1	17.86	52.89	67.21	19.17	205.5	3.36	2.705
8711	1767.2	0.946	8.803	85.84	17.78	52.92	67.18	19.64	205.5	3.38	2.707
8712	1767.4	0.736	8.833	85.51	17.63	52.97	67.14	20.25	205.6	3.4	2.71
8713	1767.6	0.525	9.014	84.68	17.1	53.23	66.88	21.55	205.6	3.51	2.725
8714	1767.8	0.314	8.986	84.49	17.01	53.22	66.94	22.03	205.9	3.53	2.724
8715	1768.0	9.961	8.891	84.5	17.05	53.11	67.11	22.25	206.3	3.52	2.717
8716	1768.2	9.742	8.599	84.98	17.37	52.78	67.58	21.81	207.1	3.46	2.692
8717	1768.4	9.524	8.311	85.55	17.77	52.43	68.06	21.28	207.8	3.38	2.669
8718	1768.6	9.306	8.055	86.16	18.22	52.09	68.48	20.73	208.5	3.3	2.649
8719	1768.8	9.087	7.855	86.75	18.68	51.8	68.83	20.23	209.0	3.22	2.636
8720	1769.0	8.869	7.727	87.3	19.13	51.56	69.07	19.82	209.3	3.14	2.629
8721	1769.2	8.651	7.678	87.76	19.55	51.4	69.19	19.53	209.4	3.07	2.63
8722	1769.4	8.432	7.708	88.1	19.92	51.33	69.19	19.38	209.4	3.01	2.638
8723	1769.6	8.214	7.93	88.4	20.07	51.37	68.89	19.57	208.8	3.05	2.668
8724	1769.8	7.996	8.045	88.44	20.32	51.47	68.77	19.59	208.5	2.99	2.68
8725	1770.0	7.777	8.158	88.3	20.51	51.64	68.64	19.62	208.2	2.92	2.689
8726	1770.2	7.559	8.257	88.01	20.61	51.88	68.53	19.65	207.9	2.87	2.694
8727	1770.4	7.34	8.33	87.59	20.57	52.16	68.45	19.64	207.7	2.83	2.693
8728	1770.6	7.122	8.475	86.62	21.45	52.64	68.32	20.02	207.6	2.39	2.693
8729	1770.8	6.904	8.422	86.27	20.6	52.9	68.38	19.71	207.3	2.64	2.678
8730	1771.0	6.685	8.279	86.1	19.13	53.1	68.52	19.16	207.0	3.14	2.655
8731	1771.2	6.467	7.878	86.39	15.25	53.14	68.93	17.65	206.5	4.5	2.606
8732	1771.4	6.249	7.491	86.77	11.84	53.14	69.32	16.32	206.0	5.75	2.561
8733	1771.6	6.03	7.161	87.17	9.33	53.11	69.65	15.35	205.6	6.71	2.526
8734	1771.8	5.812	6.923	87.56	8.02	53.06	69.88	14.86	205.3	7.29	2.505
8735	1772.0	5.594	6.801	87.9	8.08	53.02	70.0	14.92	205.1	7.43	2.5
8736	1772.2	5.375	6.807	88.16	9.52	52.98	69.99	15.54	205.1	7.1	2.512
8737	1772.4	5.157	6.943	88.33	12.24	52.95	69.85	16.68	205.2	6.34	2.54
8738	1772.6	4.938	7.353	88.32	19.6	52.96	69.4	19.53	205.7	4.12	2.608
8739	1772.8	4.72	7.659	88.3	22.69	52.95	69.11	20.9	205.9	3.15	2.652
8740	1773.0	4.502	7.994	88.2	24.85	52.96	68.81	21.97	206.1	2.41	2.694
8741	1773.2	4.283	8.413	87.95	24.31	52.99	68.47	22.31	206.2	2.38	2.735
8742	1773.4	4.065	8.79	87.68	23.4	53.03	68.17	22.39	206.3	2.46	2.768
8743	1773.6	3.847	9.097	87.4	22.38	53.06	67.95	22.28	206.4	2.6	2.792
8744	1773.8	3.628	9.315	87.14	21.46	53.1	67.81	22.0	206.4	2.76	2.806
8745	1774.0	3.41	9.434	86.9	20.81	53.13	67.77	21.6	206.4	2.88	2.81
8746	1774.2	3.192	9.452	86.7	20.51	53.16	67.82	21.13	206.4	2.96	2.803
8747	1774.4	2.973	9.375	86.56	20.59	53.18	67.94	20.62	206.3	2.97	2.788
8748	1774.6	2.755	9.0	86.51	22.43	53.19	68.35	19.87	206.3	2.67	2.742
8749	1774.8	2.536	8.866	86.44	22.63	53.2	68.51	19.5	206.2	2.65	2.724
8750	1775.0	2.318	8.77	86.4	22.56	53.2	68.63	19.27	206.1	2.66	2.711
8751	1775.2	2.1	8.722	86.38	22.2	53.2	68.69	19.19	206.0	2.71	2.705
8752	1775.4	1.881	8.722	86.39	21.57	53.19	68.7	19.25	205.9	2.8	2.706
8753	1775.6	1.663	8.912	86.48	19.67	53.19	68.51	19.82	205.9	3.06	2.731
8754	1775.8	1.445	8.934	86.49	19.15	53.17	68.48	19.89	205.8	3.13	2.734
8755	1776.0	1.218	8.925	86.5	19.0	53.14	68.48	19.83	205.6	3.16	2.733
8756	1776.2	0.992	8.883	86.35	19.59	53.06	68.48	19.85	205.2	3.07	2.726
8757	1776.4	0.766	8.798	86.27	20.43	53.0	68.53	19.58	204.9	2.95	2.714
8758	1776.6	0.54	8.669	86.3	21.42	52.98	68.66	18.98	204.7	2.82	2.696
8759	1776.8	0.314	8.498	86.44	22.51	53.01	68.85	18.06	204.8	2.68	2.672
8760	1777.0	9.569	8.294	86.7	23.59	53.09	69.11	16.86	205.1	2.54	2.645
8761	1777.2	9.374	8.066	87.07	24.6	53.21	69.42	15.45	205.6	2.42	2.615
8762	1777.4	9.18	7.831	87.53	25.46	53.37	69.77	13.94	206.3	2.33	2.586
8763	1777.6	8.985	7.358	88.48	26.69	53.71	70.45	10.52	207.8	2.21	2.522
8764	1777.8	8.791	7.253	88.83	26.79	53.84	70.66	10.02	208.4	2.21	2.514
8765	1778.0	8.596	7.279	89.0	26.33	53.9	70.72	10.55	208.9	2.28	2.525
8766	1778.2	8.402	7.739	88.67	24.74	53.8	70.28	14.07	208.9	2.46	2.6
8767	1778.4	8.208	8.167	88.28	22.91	53.67	69.86	17.6	208.7	2.69	2.671
8768	1778.6	8.013	8.496	87.9	21.02	53.53	69.52	20.72	208.5	2.93	2.728
8769	1778.8	7.819	8.679	87.56	19.2	53.39	69.33	23.08	208.2	3.18	2.763
8770	1779.0	7.624	8.69	87.3	17.58	53.27	69.31	24.48	207.8	3.41	2.773
8771	1779.2	7.43	8.523	87.14	16.25	53.17	69.47	24.82	207.4	3.62	2.756
8772	1779.4	7.235	8.194	87.08	15.29	53.11	69.79	24.12	207.1	3.8	2.715
8773	1779.6	7.041	7.183	87.42	14.49	53.11	70.82	19.86	206.8	4.03	2.577
8774	1779.8	6.846	6.854	87.39	14.51	53.1	71.15	18.53	206.5	4.05	2.53
8775	1780.0	6.652	6.689	87.3	15.06	53.09	71.31	17.66	206.3	3.98	2.503
8776	1780.2	6.458	6.707	87.13	16.11	53.1	71.29	17.35	206.2	3.82	2.498
8777	1780.4	6.263	6.907	86.89	17.56	53.11	71.09	17.62	206.1	3.58	2.517
8778	1780.6	6.069	7.668	86.44	20.74	53.15	70.33	19.98	206.1	3.02	2.608
8779	1780.8	5.874	8.009	86.12	22.05	53.17	69.99	20.65	206.1	2.78	2.643
8780	1781.0	5.68	8.301	85.8	22.83	53.18	69.7	21.1	206.2	2.63	2.671
8781	1781.2	5.485	8.436	85.48	22.04	53.18	69.56	20.75	206.3	2.72	2.675
8782	1781.4	5.291	8.53	85.2	21.15	53.17	69.47	20.35	206.4	2.83	2.676
8783	1781.6	5.096	8.592	84.98	20.37	53.15	69.4	20.0	206.5	2.94	2.674
8784	1781.8	4.902	8.631	84.81	19.84	53.14	69.36	19.74	206.6	3.02	2.673
8785	1782.0	4.708	8.656	84.7	19.66	53.12	69.34	19.62	206.6	3.05	2.672
8786	1782.2	4.513	8.675	84.66	19.89	53.1	69.32	19.67	206.6	3.03	2.674
8787	1782.4	4.319	8.695	84.67	20.55	53.08	69.3	19.87	206.6	2.95	2.678
8788	1782.6	4.124	8.61	84.84	22.33	53.05	69.39	20.72	206.4	2.71	2.681
8789	1782.8	3.93	8.701	84.92	23.39	53.05	69.3	20.98	206.4	2.58	2.694
8790	1783.0	3.735	8.851	85.0	24.4	53.05	69.15	21.12	206.5	2.46	2.712
8791	1783.2	3.541	9.267	85.04	25.84	53.08	68.73	20.9	206.7	2.29	2.752
8792	1783.4	3.346	9.619	85.1	26.84	53.12	68.38	20.65	207.0	2.18	2.786
8793	1783.6	3.152	9.859	85.17	27.26	53.15	68.14	20.4	207.1	2.14	2.809
8794	1783.8	2.958	9.951	85.27	27.05	53.17	68.05	20.19	207.2	2.18	2.818
8795	1784.0	2.763	9.877	85.4	26.21	53.19	68.12	20.03	207.2	2.29	2.811
8796	1784.2	2.569	9.633	85.57	24.83	53.2	68.36	19.93	207.1	2.47	2.789
8797	1784.4	2.374	9.231	85.79	23.04	53.2	68.77	19.88	206.9	2.69	2.752
8798	1784.6	2.18	8.341	85.87	18.16	53.17	69.66	20.19	206.4	3.26	2.667
8799	1784.8	1.985	7.85	86.27	17.3	53.15	70.15	20.07	206.1	3.39	2.624
8800	1785.0	1.791	7.432	86.8	17.69	53.14	70.57	19.84	205.9	3.39	2.59
8801	1785.2	1.596	7.111	87.43	19.34	53.13	70.89	19.49	205.7	3.25	2.567
8802	1785.4	1.402	6.898	88.14	22.12	53.12	71.1	19.04	205.5	2.98	2.554
8803	1785.6	1.208	6.944	89.31	29.57	53.11	71.1	18.22	205.5	2.25	2.574
8804	1785.8	1.013	6.894	89.86	32.24	53.1	71.13	17.74	205.4	1.96	2.575
8805	1786.0	0.819	6.888	90.2	33.7	53.1	71.11	17.36	205.3	1.78	2.577
8806	1786.2	0.624	6.922	90.16	32.13	53.1	70.94	17.15	205.1	1.85	2.577
8807	1786.4	0.43	6.985	89.93	29.91	53.1	70.79	17.03	204.9	2.0	2.578
8808	1786.6	0.235	7.069	89.54	27.37	53.11	70.69	16.99	204.9	2.2	2.578
8809	1786.8	9.882	7.169	89.02	24.76	53.12	70.67	17.05	204.9	2.44	2.579
8810	1787.0	9.665	7.279	88.4	22.28	53.13	70.72	17.18	205.1	2.69	2.579
8811	1787.2	9.447	7.394	87.72	20.1	53.14	70.86	17.38	205.4	2.95	2.58
8812	1787.4	9.23	7.51	87.02	18.34	53.15	71.07	17.65	205.7	3.2	2.581
8813	1787.6	9.012	7.604	86.05	17.67	53.18	71.61	17.89	206.5	3.44	2.574
8814	1787.8	8.795	7.718	85.53	16.63	53.18	71.83	18.26	206.8	3.63	2.58
8815	1788.0	8.578	7.829	85.2	15.86	53.16	71.97	18.69	207.0	3.78	2.589
8816	1788.2	8.36	7.989	85.3	15.33	53.1	71.87	19.45	206.9	3.88	2.615
8817	1788.4	8.143	8.111	85.49	15.08	53.04	71.76	20.06	206.8	3.93	2.636
8818	1788.6	7.925	8.183	85.71	15.09	53.0	71.68	20.45	206.6	3.93	2.652
8819	1788.8	7.708	8.2	85.93	15.36	52.96	71.63	20.55	206.4	3.88	2.659
8820	1789.0	7.49	8.159	86.1	15.86	52.94	71.64	20.36	206.2	3.78	2.656
8821	1789.2	7.273	8.066	86.2	16.57	52.93	71.71	19.89	206.0	3.65	2.644
8822	1789.4	7.055	7.931	86.22	17.45	52.94	71.83	19.17	205.9	3.49	2.624
8823	1789.6	6.838	7.583	86.09	18.5	53.03	72.21	17.51	205.8	3.26	2.57
8824	1789.8	6.62	7.483	85.93	19.59	53.03	72.31	16.82	205.8	3.07	2.55
8825	1790.0	6.403	7.457	85.7	20.69	53.0	72.34	16.39	205.8	2.9	2.539
8826	1790.2	6.185	7.512	85.4	21.76	52.95	72.29	16.27	205.8	2.75	2.538
8827	1790.4	5.968	7.645	85.06	22.73	52.87	72.15	16.48	205.9	2.62	2.546
8828	1790.6	5.75	7.98	84.62	24.15	52.69	71.82	17.25	206.1	2.48	2.579
8829	1790.8	5.533	8.186	84.25	24.53	52.63	71.61	17.99	206.2	2.45	2.599
8830	1791.0	5.316	8.379	83.9	24.43	52.6	71.42	18.89	206.3	2.48	2.621
8831	1791.2	5.098	8.603	83.39	23.04	52.66	71.2	20.27	206.5	2.67	2.647
8832	1791.4	4.881	8.764	83.06	21.61	52.73	71.04	21.53	206.6	2.86	2.669
8833	1791.6	4.663	8.844	82.95	20.33	52.8	70.96	22.56	206.6	3.02	2.685
8834	1791.8	4.446	8.837	83.1	19.34	52.88	70.96	23.28	206.5	3.14	2.694
8835	1792.0	4.228	8.74	83.5	18.71	52.95	71.06	23.64	206.4	3.21	2.696
8836	1792.2	4.011	8.562	84.14	18.46	53.01	71.24	23.61	206.2	3.22	2.69
8837	1792.4	3.793	8.319	84.98	18.56	53.05	71.48	23.22	205.9	3.19	2.678
8838	1792.6	3.576	7.708	86.76	20.58	53.06	72.09	21.9	205.3	2.87	2.638
8839	1792.8	3.358	7.53	87.48	20.5	53.08	72.27	21.14	205.1	2.89	2.627
8840	1793.0	3.141	7.476	87.9	19.89	53.08	72.32	20.41	205.0	3.02	2.622
8841	1793.2	2.923	7.857	87.4	17.73	53.06	71.94	19.73	205.3	3.41	2.644
8842	1793.4	2.706	8.212	86.86	15.54	53.04	71.58	19.17	205.5	3.81	2.664
8843	1793.6	2.488	8.477	86.39	13.54	53.02	71.32	18.79	205.6	4.19	2.677
8844	1793.8	2.271	8.608	86.09	11.91	53.01	71.19	18.58	205.7	4.5	2.683
8845	1794.0	2.053	8.579	86.0	10.79	53.0	71.22	18.56	205.6	4.74	2.678
8846	1794.2	1.836	8.385	86.14	10.25	53.0	71.41	18.71	205.4	4.87	2.663
8847	1794.4	1.619	8.038	86.5	10.33	53.0	71.76	18.99	205.0	4.89	2.638
8848	1794.6	1.401	7.056	87.88	11.59	52.99	72.75	19.95	204.2	4.73	2.576
8849	1794.8	1.184	6.706	88.22	12.59	53.02	73.09	20.16	203.9	4.57	2.549
8850	1795.0	0.966	6.507	88.3	13.83	53.06	73.29	20.16	203.7	4.35	2.531
8851	1795.2	0.749	6.474	88.11	15.23	53.1	73.32	19.95	203.7	4.08	2.522
8852	1795.4	0.531	6.608	87.65	16.71	53.14	73.18	19.54	203.8	3.77	2.522
8853	1795.6	0.314	7.271	86.44	18.72	53.35	72.5	18.27	204.2	3.36	2.552
8854	1795.8	10.196	7.525	85.78	19.84	53.28	72.25	17.88	204.6	3.09	2.561
8855	1796.0	9.984	7.725	85.2	20.55	53.12	72.07	17.69	205.1	2.87	2.568
8856	1796.2	9.772	7.738	84.61	20.57	52.66	72.1	18.09	205.8	2.7	2.562
8857	1796.4	9.56	7.726	84.24	20.25	52.23	72.16	18.55	206.5	2.62	2.558
8858	1796.6	9.347	7.704	84.12	19.63	51.86	72.23	18.99	207.1	2.65	2.558
8859	1796.8	9.135	7.686	84.28	18.76	51.59	72.28	19.38	207.5	2.78	2.563
8860	1797.0	8.923	7.679	84.7	17.72	51.46	72.32	19.65	207.8	3.01	2.573
8861	1797.2	8.711	7.69	85.35	16.57	51.46	72.33	19.78	207.9	3.33	2.588
8862	1797.4	8.499	7.721	86.18	15.39	51.6	72.3	19.76	207.9	3.71	2.607
8863	1797.6	8.286	7.873	88.01	13.53	52.14	72.13	19.41	207.5	4.48	2.654
8864	1797.8	8.074	7.902	88.6	12.81	52.39	72.1	19.15	207.2	4.76	2.666
8865	1798.0	7.862	7.91	88.8	12.54	52.61	72.09	18.82	206.9	4.89	2.667
8866	1798.2	7.65	7.792	88.0	13.77	52.72	72.21	18.47	206.4	4.51	2.636
8867	1798.4	7.438	7.712	87.05	14.93	52.8	72.29	18.07	206.0	4.15	2.606
8868	1798.6	7.225	7.693	86.07	15.79	52.86	72.31	17.66	205.6	3.88	2.581
8869	1798.8	7.013	7.751	85.17	16.23	52.9	72.25	17.24	205.3	3.74	2.566
8870	1799.0	6.801	7.893	84.4	16.16	52.92	72.11	16.84	205.2	3.76	2.561
8871	1799.2	6.589	8.118	83.82	15.58	52.93	71.88	16.5	205.2	3.94	2.569
8872	1799.4	6.377	8.418	83.46	14.55	52.93	71.58	16.26	205.3	4.27	2.589
8873	1799.6	6.165	8.995	83.68	11.1	52.92	71.01	15.56	205.9	5.35	2.644
8874	1799.8	5.952	9.304	83.57	10.41	52.91	70.7	15.84	206.1	5.6	2.676
8875	1800.0	5.74	9.549	83.5	10.49	52.91	70.45	16.53	206.3	5.63	2.706
8876	1800.2	5.528	9.719	83.44	11.39	52.91	70.28	17.59	206.5	5.43	2.732
8877	1800.4	5.316	9.813	83.37	13.07	52.91	70.18	18.96	206.6	5.0	2.754
8878	1800.6	5.104	9.677	83.33	17.22	52.92	70.32	21.71	206.5	3.84	2.768
8879	1800.8	4.891	9.697	83.19	19.38	52.93	70.3	22.92	206.5	3.28	2.779
8880	1801.0	4.679	9.725	83.0	21.22	52.94	70.27	23.68	206.6	2.83	2.786
8881	1801.2	4.467	9.85	82.63	22.14	52.98	70.15	23.32	206.7	2.66	2.788
8882	1801.4	4.255	9.953	82.28	22.79	53.0	70.05	22.73	206.8	2.57	2.786
8883	1801.6	4.043	10.024	81.98	23.23	53.01	69.98	22.03	206.9	2.53	2.78
8884	1801.8	3.831	10.057	81.74	23.5	52.99	69.95	21.32	207.0	2.52	2.772
8885	1802.0	3.618	10.053	81.6	23.64	52.94	69.95	20.66	207.0	2.53	2.762
8886	1802.2	3.406	10.018	81.56	23.68	52.87	69.99	20.11	207.0	2.54	2.752
8887	1802.4	3.194	9.964	81.62	23.65	52.78	70.04	19.68	207.0	2.56	2.744
8888	1802.6	2.982	9.614	81.85	23.7	52.6	70.39	19.93	207.0	2.52	2.716
8889	1802.8	2.77	9.685	82.09	23.54	52.53	70.32	19.56	206.9	2.54	2.724
8890	1803.0	2.557	9.89	82.4	23.32	52.5	70.11	19.13	206.7	2.56	2.746
8891	1803.2	2.345	10.54	82.82	22.78	52.56	69.46	18.18	206.4	2.63	2.81
8892	1803.4	2.133	11.152	83.25	22.35	52.63	68.85	17.4	206.1	2.68	2.871
8893	1803.6	1.921	11.652	83.67	22.08	52.72	68.35	16.9	205.8	2.71	2.924
8894	1803.8	1.709	11.987	84.06	22.0	52.8	68.02	16.72	205.6	2.71	2.963
8895	1804.0	1.496	12.123	84.4	22.12	52.88	67.88	16.9	205.4	2.69	2.985
8896	1804.2	1.284	12.046	84.68	22.41	52.95	67.96	17.43	205.3	2.65	2.988
8897	1804.4	1.072	11.763	84.89	22.83	53.0	68.24	18.27	205.2	2.6	2.972
8898	1804.6	0.86	10.831	84.89	24.3	53.03	69.17	20.29	205.4	2.44	2.899
8899	1804.8	0.648	10.402	85.01	24.32	53.05	69.6	21.13	205.4	2.45	2.866
8900	1805.0	0.436	10.038	85.1	23.85	53.07	69.96	21.68	205.4	2.54	2.837
8901	1805.2	0.223	9.76	85.15	22.87	53.08	70.24	21.88	205.4	2.71	2.812
8902	1805.4	0.011	9.573	85.16	21.41	53.08	70.42	21.72	205.3	2.96	2.792
8903	1805.6	-0.201	9.817	85.61	18.86	53.05	70.16	20.72	205.1	3.14	2.815
8904	1805.8	9.725	9.652	85.25	16.94	53.05	70.33	20.11	205.1	3.64	2.785
8905	1806.0	9.523	9.416	84.6	15.08	53.04	70.59	19.45	205.1	4.27	2.743
8906	1806.2	9.32	8.876	82.92	12.76	53.05	71.18	18.61	205.3	5.5	2.649
8907	1806.4	9.118	8.383	81.41	11.01	53.05	71.71	17.88	205.4	6.56	2.564
8908	1806.6	8.915	7.988	80.26	9.99	53.06	72.15	17.32	205.6	7.33	2.497
8909	1806.8	8.712	7.724	79.6	9.8	53.06	72.45	16.95	205.7	7.72	2.454
8910	1807.0	8.51	7.614	79.5	10.48	53.06	72.59	16.81	205.8	7.71	2.44
8911	1807.2	8.307	7.663	79.99	11.97	53.06	72.56	16.88	205.8	7.27	2.455
8912	1807.4	8.104	7.862	81.03	14.14	53.05	72.36	17.15	205.8	6.46	2.497
8913	1807.6	7.902	8.504	83.89	19.17	53.04	71.7	18.09	205.6	4.39	2.625
8914	1807.8	7.699	8.807	85.23	21.21	53.03	71.39	18.39	205.5	3.42	2.683
8915	1808.0	7.496	9.057	86.3	22.44	53.02	71.14	18.53	205.4	2.68	2.73
8916	1808.2	7.294	9.204	86.54	21.35	53.01	70.99	18.47	205.5	2.38	2.749
8917	1808.4	7.091	9.273	86.65	20.03	53.0	70.93	18.21	205.5	2.34	2.756
8918	1808.6	6.889	9.259	86.69	18.74	53.0	70.94	17.75	205.4	2.54	2.751
8919	1808.8	6.686	9.164	86.73	17.7	53.0	71.04	17.1	205.3	2.94	2.736
8920	1809.0	6.483	8.993	86.8	17.04	53.01	71.21	16.3	205.0	3.53	2.712
8921	1809.2	6.281	8.757	86.94	16.84	53.02	71.45	15.4	204.7	4.24	2.682
8922	1809.4	6.078	8.473	87.17	17.12	53.04	71.73	14.48	204.3	5.03	2.649
8923	1809.6	5.875	7.986	87.69	19.16	53.07	72.21	12.64	203.5	6.46	2.592
8924	1809.8	5.673	7.733	88.0	19.68	53.08	72.47	12.26	203.2	6.95	2.568
8925	1810.0	5.47	7.558	88.3	19.93	53.09	72.64	12.41	203.0	7.11	2.558
8926	1810.2	5.267	7.471	88.57	19.87	53.09	72.73	13.09	203.0	6.91	2.561
8927	1810.4	5.065	7.475	88.82	19.47	53.1	72.72	14.26	203.2	6.39	2.578
8928	1810.6	4.862	7.689	89.09	18.37	53.08	72.51	17.23	203.8	4.7	2.635
8929	1810.8	4.659	7.809	89.23	17.51	53.08	72.39	18.45	204.1	4.05	2.662
8930	1811.0	4.457	7.949	89.3	16.55	53.09	72.25	19.24	204.3	3.62	2.685
8931	1811.2	4.254	8.087	89.18	15.24	53.11	72.11	18.87	204.3	3.86	2.692
8932	1811.4	4.052	8.23	89.07	14.09	53.14	71.97	18.31	204.3	4.16	2.699
8933	1811.6	3.849	8.373	89.01	13.2	53.17	71.83	17.7	204.3	4.45	2.705
8934	1811.8	3.646	8.51	89.01	12.62	53.21	71.69	17.11	204.3	4.69	2.713
8935	1812.0	3.444	8.633	89.1	12.4	53.26	71.57	16.63	204.3	4.83	2.722
8936	1812.2	3.241	8.737	89.29	12.55	53.31	71.47	16.3	204.3	4.84	2.733
8937	1812.4	3.038	8.817	89.58	13.04	53.36	71.39	16.14	204.4	4.73	2.745
8938	1812.6	2.836	8.951	90.01	14.34	53.43	71.25	16.53	204.6	4.25	2.771
8939	1812.8	2.633	8.93	90.48	15.14	53.47	71.27	16.56	204.7	4.01	2.779
8940	1813.0	2.43	8.842	91.0	15.88	53.48	71.36	16.58	204.7	3.78	2.78
8941	1813.2	2.228	8.556	91.71	16.71	53.46	71.64	16.6	204.7	3.5	2.765
8942	1813.4	2.025	8.28	92.36	17.27	53.42	71.92	16.56	204.7	3.32	2.748
8943	1813.6	1.822	8.049	92.92	17.47	53.39	72.15	16.42	204.6	3.27	2.734
8944	1813.8	1.62	7.886	93.34	17.27	53.35	72.31	16.17	204.4	3.36	2.723
8945	1814.0	1.417	7.808	93.6	16.65	53.32	72.39	15.8	204.2	3.6	2.716
8946	1814.2	1.215	7.821	93.7	15.63	53.29	72.38	15.3	204.0	4.01	2.714
8947	1814.4	1.012	7.922	93.64	14.26	53.27	72.28	14.68	203.7	4.56	2.717
8948	1814.6	0.809	8.279	93.19	11.89	53.27	71.92	13.98	203.1	5.33	2.738
8949	1814.8	0.592	8.451	92.95	10.32	53.26	71.75	13.11	203.1	6.08	2.742
8950	1815.0	0.374	8.601	92.7	8.92	53.26	71.6	12.14	203.3	6.86	2.743
8951	1815.2	0.157	8.715	92.46	7.75	53.27	71.49	11.09	203.7	7.65	2.74
8952	1815.4	9.961	8.785	92.24	6.86	53.28	71.42	10.0	204.2	8.4	2.732
8953	1815.6	9.961	8.807	92.02	6.38	53.3	71.39	8.53	205.6	9.44	2.715
8954	1815.8	9.743	8.777	91.89	6.06	53.32	71.42	7.65	206.1	9.85	2.701
8955	1816.0	9.525	8.7	91.8	6.0	53.34	71.5	7.0	206.3	9.98	2.685
8956	1816.2	9.307	8.486	91.95	6.47	53.35	71.72	6.88	205.8	9.43	2.665
8957	1816.4	9.089	8.282	92.04	7.0	53.37	71.92	6.89	205.2	8.79	2.646
8958	1816.6	8.871	8.115	92.01	7.52	53.39	72.09	6.96	204.7	8.18	2.629
8959	1816.8	8.654	8.002	91.83	7.97	53.42	72.2	7.07	204.3	7.64	2.615
8960	1817.0	8.436	7.953	91.5	8.29	53.45	72.25	7.17	204.0	7.25	2.605
8961	1817.2	8.218	7.973	91.01	8.47	53.48	72.23	7.25	203.9	7.02	2.598
8962	1817.4	8.0	8.06	90.37	8.49	53.51	72.14	7.29	204.0	6.96	2.596
8963	1817.6	7.782	8.355	89.27	7.91	53.58	71.85	7.0	204.6	7.55	2.602
8964	1817.8	7.564	8.486	88.59	7.87	53.59	71.72	7.12	204.9	7.61	2.603
8965	1818.0	7.346	8.593	88.0	7.91	53.57	71.61	7.33	205.3	7.58	2.605
8966	1818.2	7.129	8.628	87.57	8.44	53.49	71.58	7.94	205.7	7.15	2.606
8967	1818.4	6.911	8.643	87.27	8.87	53.41	71.56	8.49	206.1	6.79	2.607
8968	1818.6	6.693	8.642	87.09	9.15	53.34	71.56	8.92	206.3	6.56	2.608
8969	1818.8	6.475	8.627	87.04	9.22	53.27	71.58	9.18	206.5	6.5	2.608
8970	1819.0	6.257	8.604	87.1	9.08	53.22	71.6	9.26	206.6	6.61	2.608
8971	1819.2	6.039	8.574	87.26	8.75	53.19	71.63	9.17	206.6	6.88	2.607
8972	1819.4	5.821	8.541	87.5	8.28	53.17	71.66	8.92	206.5	7.29	2.606
8973	1819.6	5.603	8.49	87.99	6.7	53.22	71.71	7.94	206.1	8.55	2.601
8974	1819.8	5.386	8.462	88.23	6.58	53.22	71.74	7.81	206.0	8.76	2.602
8975	1820.0	5.168	8.441	88.4	6.93	53.2	71.76	7.94	206.0	8.66	2.604
8976	1820.2	4.95	8.427	88.48	7.77	53.18	71.77	8.35	206.1	8.22	2.608
8977	1820.4	4.732	8.416	88.46	9.07	53.14	71.78	9.05	206.4	7.48	2.613
8978	1820.6	4.514	8.473	88.28	11.87	53.06	71.72	10.34	206.9	5.69	2.628
8979	1820.8	4.296	8.435	88.07	13.44	53.03	71.76	11.43	207.2	4.79	2.631
8980	1821.0	4.078	8.365	87.8	14.8	53.02	71.83	12.59	207.6	4.06	2.63
8981	1821.2	3.861	8.202	87.33	15.43	53.04	71.99	13.94	208.0	3.81	2.619
8982	1821.4	3.643	8.044	86.89	15.99	53.07	72.15	15.21	208.4	3.66	2.608
8983	1821.6	3.425	7.904	86.5	16.55	53.1	72.29	16.34	208.7	3.56	2.598
8984	1821.8	3.207	7.796	86.2	17.17	53.14	72.4	17.28	208.9	3.48	2.591
8985	1822.0	2.989	7.727	86.0	17.88	53.17	72.47	18.01	209.0	3.41	2.588
8986	1822.2	2.771	7.701	85.9	18.68	53.2	72.5	18.52	209.0	3.31	2.589
