	DEPT	GR
272	30.3276	58.7827
273	30.3276	61.8209
274	30.4038	58.0674
275	30.4038	61.6877
276	30.48	57.0871
277	30.48	61.3653
278	30.5562	55.8767
279	30.5562	60.9999
280	30.6324	54.5736
281	30.6324	60.6373
282	30.7086	60.2751
283	30.7086	53.3135
284	30.7848	52.2577
285	30.7848	59.848
286	30.861	51.6113
287	30.861	59.2769
288	30.9372	58.5822
289	30.9372	51.4432
290	31.0134	51.649
291	31.0134	57.813
292	31.0896	57.0615
293	31.0896	51.9977
294	31.1658	52.3761
295	31.1658	56.423
296	31.242	55.919
297	31.242	52.7305
298	31.3182	52.9939
299	31.3182	55.4985
300	31.3944	53.1255
301	31.3944	55.1147
302	31.4706	54.7326
303	31.4706	53.1279
304	31.5468	53.0993
305	31.5468	54.3853
306	31.623	53.2641
307	31.623	54.2439
308	31.6992	54.5007
309	31.6992	53.7581
310	31.7754	55.1397
311	31.7754	54.5251
312	31.8516	55.3136
313	31.8516	56.0248
314	31.9278	56.857
315	31.9278	55.8016
316	32.004	57.2602
317	32.004	55.7264
318	32.0802	57.0599
319	32.0802	55.0365
320	32.1564	53.9801
321	32.1564	56.3488
322	32.2326	55.3781
323	32.2326	52.9763
324	32.3088	52.4066
325	32.3088	54.4895
326	32.385	52.4237
327	32.385	53.9274
328	32.4612	53.795
329	32.4612	52.8865
330	32.5374	53.4157
331	32.5374	54.0457
332	32.6136	53.6467
333	32.6136	54.5195
334	32.6898	53.4354
335	32.6898	54.9734
336	32.766	55.1593
337	32.766	52.8985
338	32.8422	52.3212
339	32.8422	54.9248
340	32.9184	52.0044
341	32.9184	54.2179
342	32.9946	53.1595
343	32.9946	52.146
344	33.0708	51.9888
345	33.0708	52.709
346	33.147	53.4067
347	33.147	50.8923
348	33.2232	50.0799
349	33.2232	53.8328
350	33.2994	49.6687
351	33.2994	53.7184
352	33.3756	52.9699
353	33.3756	49.688
354	33.4518	51.7537
355	33.4518	50.0943
356	33.528	50.7077
357	33.528	50.3053
358	33.6042	48.8952
359	33.6042	51.3298
360	33.6804	47.7659
361	33.6804	51.762
362	33.7566	47.1498
363	33.7566	51.8085
364	33.8328	47.1623
365	33.8328	51.3797
366	33.909	47.6887
367	33.909	50.5205
368	33.9852	49.4418
369	33.9852	48.4535
370	34.0614	49.2042
371	34.0614	48.4306
372	34.1376	49.6324
373	34.1376	47.705
374	34.2138	49.6066
375	34.2138	47.4651
376	34.29	47.8114
377	34.29	49.1696
378	34.3662	48.5113
379	34.3662	48.6999
380	34.4424	47.8343
381	34.4424	49.9249
382	34.5186	47.2723
383	34.5186	51.2509
384	34.5948	46.9302
385	34.5948	52.5575
386	34.671	53.8202
