,DEPT,GR
272,40.6908,48.0469
273,40.767,45.1573
274,40.8432,42.151
275,40.9194,39.5742
276,40.9956,37.7482
277,41.0718,36.6598
278,41.148,36.1158
279,41.2242,35.857
280,41.3004,35.781
281,41.3766,35.9932
282,41.4528,36.5422
283,41.529,37.3016
284,41.6052,37.9931
285,41.6814,38.3574
286,41.7576,38.3991
287,41.8338,38.5462
288,41.91,39.2885
289,41.9862,40.7702
290,42.0624,42.6452
291,42.1386,44.2032
292,42.2148,44.763
293,42.291,44.1079
294,42.3672,42.5416
295,42.4434,40.6122
296,42.5196,38.8166
297,42.5958,37.4417
298,42.672,36.5114
299,42.7482,35.9508
300,42.8244,35.7314
301,42.9006,35.7839
302,42.9768,35.9931
303,43.053,36.2504
304,43.1292,36.4885
305,43.2054,36.7151
306,43.2816,36.9886
307,43.3578,37.3489
308,43.434,37.682
309,43.5102,37.8572
310,43.5864,37.7951
311,43.6626,37.5128
312,43.7388,37.1138
313,43.815,36.7764
314,43.8912,36.6475
315,43.9674,36.7631
316,44.0436,37.1062
317,44.1198,37.5327
318,44.196,37.7456
319,44.2722,37.4579
320,44.3484,36.4784
321,44.4246,34.8696
322,44.5008,32.9078
323,44.577,30.8782
324,44.6532,28.9895
325,44.7294,27.3936
326,44.8056,26.1688
327,44.8818,25.2968
328,44.958,24.7245
329,45.0342,24.4056
330,45.1104,24.2134
331,45.1866,24.0304
332,45.2628,23.7806
333,45.339,23.4968
334,45.4152,23.2837
335,45.4914,23.2278
336,45.5676,23.348
337,45.6438,23.6877
338,45.72,24.3622
339,45.7962,25.3807
340,45.8724,26.5926
341,45.9486,27.7865
342,46.0248,28.7919
343,46.101,29.5365
344,46.1772,30.0799
345,46.2534,30.5527
346,46.3296,30.9997
347,46.4058,31.3314
348,46.482,31.4239
349,46.5582,31.1601
350,46.6344,30.5382
351,46.7106,29.6647
352,46.7868,28.6756
353,46.863,27.6662
354,46.9392,26.7054
355,47.0154,25.8501
356,47.0916,25.1269
357,47.1678,24.5983
358,47.244,24.3455
359,47.3202,24.399
360,47.3964,24.8252
361,47.4726,25.7413
362,47.5488,27.2506
363,47.625,29.3674
364,47.7012,31.9568
365,47.7774,34.7171
366,47.8536,37.2545
367,47.9298,39.2019
368,48.006,40.3453
369,48.0822,40.6693
370,48.1584,40.3136
371,48.2346,39.4693
372,48.3108,38.4029
373,48.387,37.366
374,48.4632,36.5113
375,48.5394,35.9402
376,48.6156,35.7918
377,48.6918,36.058
378,48.768,36.5801
379,48.8442,37.1514
380,48.9204,37.6848
381,48.9966,38.1249
382,49.0728,38.3913
383,49.149,38.3575
384,49.2252,37.965
385,49.3014,37.2406
386,49.3776,36.2242
387,49.4538,34.9468
388,49.53,33.5378
389,49.6062,32.2073
390,49.6824,31.1502
391,49.7586,30.483
392,49.8348,30.264
393,49.911,30.5045
394,49.9872,31.0599
395,50.0634,31.7402
396,50.1396,32.4285
397,50.2158,33.0072
398,50.292,33.3564
399,50.3682,33.4161
400,50.4444,33.2429
401,50.5206,32.9887
402,50.5968,32.8187
403,50.673,32.8195
404,50.7492,32.9351
405,50.8254,32.9915
406,50.9016,32.8501
407,50.9778,32.5361
408,51.054,32.3074
409,51.1302,32.3755
410,51.2064,32.6861
411,51.2826,32.9703
412,51.3588,32.978
413,51.435,32.6725
414,51.5112,32.2087
415,51.5874,31.7799
416,51.6636,31.5506
417,51.7398,31.5564
418,51.816,31.6677
419,51.8922,31.7333
420,51.9684,31.7297
421,52.0446,31.7718
422,52.1208,32.0262
423,52.197,32.6148
424,52.2732,33.5081
425,52.3494,34.6267
426,52.4256,35.8575
427,52.5018,37.063
428,52.578,38.0982
429,52.6542,38.9022
430,52.7304,39.5584
431,52.8066,40.2328
432,52.8828,40.977
433,52.959,41.713
